0e0711b8-3d19-45b6-b306-6f3d9f3dec67:1746116814706:72:S:CREATE TABLE Station (\n    STATIONID NUMBER PRIMARY KEY,\n    NAME VARCHAR2(100) NOT NULL,\n    BESCHREIBUNG VARCHAR2(200),\n    ORT VARCHAR2(50),\n    AKTIV CHAR(1) DEFAULT 'Y' CHECK (AKTIV IN ('Y', 'N'))\n);
cde5e865-4e6c-4e67-a2ce-7adc2638a2f7:1746116814975:59:S:INSERT INTO Station (STATIONID, NAME, BESCHREIBUNG, ORT, AKTIV) \nVALUES (1, 'Station 1', 'Laufbahn', 'Sportplatz Nord', 'Y');
e0d52590-9eff-4ac8-a0b0-6b2b2530c532:1746116815177:36:S:INSERT INTO Station (STATIONID, NAME, BESCHREIBUNG, ORT, AKTIV) \nVALUES (2, 'Station 2', 'Weitsprung', 'Sportplatz Ost', 'Y');
729c495e-9d2b-446d-bbda-66d3e1f54591:1746116815282:35:S:COMMIT;
e9b6360d-e0ec-42f7-ab9d-53f945f79cf2:1746608162792:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'HAP' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'HAP');
038d6020-6b71-47fc-9efc-ee1473b4327a:1746608163322:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'PAN' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'PAN');
3459f7b7-abbe-4450-89f3-f73a28de355a:1746608163840:0:F:INSERT INTO BETREUER (BETREUERID, NAME)\nSELECT MAX(BETREUERID) + 1, 'LEW' FROM BETREUER\nWHERE NOT EXISTS (SELECT 1 FROM BETREUER WHERE NAME = 'LEW');
efe5c06f-82e4-45c2-8897-d288aeda07f8:1746608167972:0:F:INSERT INTO BETREUER (BETREUERID, NAME)\nSELECT MAX(BETREUERID) + 1, 'Anna' FROM BETREUER\nWHERE NOT EXISTS (SELECT 1 FROM BETREUER WHERE NAME = 'Anna');
07314955-8f47-47c2-8ac9-d3f496d61940:1746608172043:0:F:INSERT INTO BETREUER (BETREUERID, NAME)\nSELECT MAX(BETREUERID) + 1, 'Ina' FROM BETREUER\nWHERE NOT EXISTS (SELECT 1 FROM BETREUER WHERE NAME = 'Ina');
b2354bc8-76ea-45a3-9653-3ccdb186b60d:1746608176121:0:F:INSERT INTO BETREUER (BETREUERID, NAME)\nSELECT MAX(BETREUERID) + 1, 'HES' FROM BETREUER\nWHERE NOT EXISTS (SELECT 1 FROM BETREUER WHERE NAME = 'HES');
057c91b5-46de-4383-a7f4-a9e9a88505e8:1746608180133:90:S:SELECT * FROM BETREUER ORDER BY BETREUERID;
10309cde-3e77-4f8b-8dfa-feaf0eb2e087:1746608324011:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (26, 'LEW');
e6108481-a17a-4deb-9456-1358755c3972:1746608331768:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (27, 'HES');
a663140f-5fe4-498c-b8b1-af38ac410644:1746608338788:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (28, 'BOE');
9e409f05-c05f-4442-a462-eb15d0a03a28:1746608345514:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (8, 'GEM');
c43a0720-5f01-4df7-aafb-ad1b3187c226:1746608345747:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (9, 'BUN');
6acaf4ca-b370-426f-be19-cee0941d4bd3:1746608346033:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (10, 'LOR');
7cb292a2-9c77-4ba9-90b3-1155e2b066b3:1746608346293:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (11, 'MAR');
722d2755-b1eb-4680-881b-d2a26955f855:1746608346607:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (12, 'STF');
5a419d5f-725c-48f3-8178-34cbb608ca4d:1746608347633:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (13, 'SAL');
f986c9f6-184f-40a4-b859-1744dd70aa68:1746608348029:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (14, 'MUE');
0d3dd8a3-bbee-4b39-8a02-9c75b3017dcf:1746608348421:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (15, 'FES');
4c7bfd16-c404-4154-ae60-874805338a42:1746608348636:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (16, 'HNK');
f42c817f-343c-471e-851f-71800530b361:1746608348914:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (17, 'SIG');
a3aa798d-606e-4b58-8c95-c6faf5e9d07b:1746608349155:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (18, 'SON');
05c701b0-7c48-44ca-bab3-a60971acff51:1746608349423:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (19, 'DRO');
bc15db65-441f-4bde-9236-11854db4156d:1746608349712:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (20, 'STR');
6b30bc67-cbbf-4091-b3e1-d104a097cb97:1746608350084:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (21, 'WEL');
eef669c1-e7e8-4683-ad24-8eb30ea0bfd2:1746608350360:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (22, 'LES');
55a9de12-8a02-4c13-9b93-99645aaec609:1746608350633:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (23, 'MEY');
3ce2ac62-f41e-4763-9392-7091229ff37e:1746608350829:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (24, 'HAP');
4d4e9891-99c5-4894-be23-09881bd5365d:1746608351082:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (25, 'PAN');
fb4b6878-5d02-4ccf-9f67-cd3cd958ef9e:1746608831169:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (26, 'LEW');
c95ad3f8-0fc5-4a01-a680-5eb26453224f:1746608831555:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (27, 'HES');
0a163345-2dc5-405c-81ce-6790ed510e7e:1746608848595:65:S:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (29, 'LEW');
4fa25cf4-ad4d-40d4-bdd9-4bb847a2480d:1746608848777:122:S:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (299, 'HES');
7fd07ee7-f1a4-450e-86d7-479b127e8145:1746608999579:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (29, 'LEW');
06d6b549-84c0-4593-8551-78876470e230:1746609000048:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (299, 'HES');
7f61933d-9d69-4082-a6d3-d44632d6c7ce:1746609096582:171:S:SELECT * FROM BETREUER ORDER BY BETREUERID;
38a38795-6502-4225-b13a-9a166902d13a:1746609096964:76:S:SELECT NAME, COUNT(*) FROM BETREUER \nWHERE NAME IN ('LEW', 'Anna', 'Ina', 'HES', 'Sportlehrer', 'BOE', 'SEPE', 'GEM')\nGROUP BY NAME;
8956f1f0-d50c-44b6-a5e7-9b63bf1e9efa:1746609097210:117:S:COMMIT;
